zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2014
37377,STANDARD,0,Signal Mountain,"Signal Mtn, Walden",,TN,Hamilton County,,,NA,US,35.13,-85.34,15470
37378,PO BOX,0,Smartt,,,TN,Warren County,America/Chicago,931,NA,US,35.63,-85.84,208
37379,STANDARD,0,Soddy Daisy,Lakesite,Soddy-daisy,TN,Hamilton County,America/New_York,423,NA,US,35.26,-85.17,23830
37380,STANDARD,0,South Pittsburg,"New Hope, Orme, S Pittsburg",,TN,Marion County,America/Chicago,423,NA,US,35.01,-85.71,5490
37381,STANDARD,0,Spring City,Watts Bar Dam,,TN,Rhea County,America/New_York,423,NA,US,35.68,-84.86,7260
37382,PO BOX,0,Summitville,,,TN,Coffee County,America/Chicago,931,NA,US,35.54,-85.97,327
37383,UNIQUE,0,Sewanee,,University Of The South,TN,Franklin County,America/Chicago,931,NA,US,35.2,-85.92,218
37384,PO BOX,0,Soddy Daisy,,,TN,Hamilton County,America/New_York,423,NA,US,35.26,-85.17,1172
37385,STANDARD,0,Tellico Plains,Tellico Plns,,TN,Monroe County,,423,NA,US,35.36,-84.29,6370
37387,STANDARD,0,Tracy City,,,TN,Grundy County,,931,NA,US,35.25,-85.75,3380
37388,STANDARD,0,Tullahoma,Dickel,,TN,Coffee County,,931,NA,US,35.37,-86.2,22190
37389,STANDARD,0,Arnold Afb,Tullahoma,Arnold Air Force Base,TN,Coffee County,America/Chicago,931,NA,US,35.37,-86.14,0
37391,STANDARD,0,Turtletown,,,TN,Polk County,America/New_York,423,NA,US,35.12,-84.35,1080
37394,PO BOX,0,Viola,,,TN,Warren County,America/Chicago,931,NA,US,35.54,-85.86,229
37396,STANDARD,0,Whiteside,,,TN,Marion County,America/Chicago,423,NA,US,35.01,-85.5,330
37397,STANDARD,0,Whitwell,"Powells Crossroads, Powells Crsrd",,TN,Marion County,,423,NA,US,35.2,-85.51,7870
37398,STANDARD,0,Winchester,,,TN,Franklin County,America/Chicago,931,NA,US,35.18,-86.1,12790
37401,PO BOX,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.25,510
37402,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.04,-85.32,2020
37403,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.05,-85.29,1690
37404,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.03,-85.27,12270
37405,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.12,-85.41,13330
37406,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.25,10610
37407,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35,-85.29,8660
37408,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.03,-85.31,1570
37409,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.01,-85.34,2870
37410,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35,-85.31,2940
37411,STANDARD,0,Chattanooga,Ridgeside,,TN,Hamilton County,America/New_York,423,NA,US,35.03,-85.23,15740
37412,STANDARD,0,Chattanooga,East Ridge,,TN,Hamilton County,America/New_York,423,NA,US,35,-85.23,20420
37414,PO BOX,0,Chattanooga,,"Chatt, Chatta",TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.25,691
37415,STANDARD,0,Chattanooga,Red Bank,,TN,Hamilton County,America/New_York,423,NA,US,35.12,-85.28,20370
37416,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.1,-85.18,13160
37419,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.04,-85.4,5630
37421,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.03,-85.15,44090
37422,PO BOX,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.25,698
37424,PO BOX,0,Chattanooga,,"Chatt, Chatta, Chickamauga",TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.25,657
37450,STANDARD,0,Chattanooga,,,TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.25,22
37501,UNIQUE,0,Memphis,,I R S,TN,Shelby County,America/Chicago,901,NA,US,35.1,-90,0
37544,UNIQUE,0,Memphis,,I R S,TN,Shelby County,America/Chicago,901,NA,US,35.15,-90.05,0
37601,STANDARD,0,Johnson City,,Jc,TN,Washington County,America/New_York,423,NA,US,36.33,-82.36,28970
37602,PO BOX,0,Johnson City,,Jc,TN,Washington County,America/New_York,423,NA,US,36.33,-82.36,1105
37604,STANDARD,0,Johnson City,,Jc,TN,Washington County,America/New_York,423,NA,US,36.3,-82.38,27010
37605,PO BOX,0,Johnson City,,Jc,TN,Washington County,America/New_York,423,NA,US,36.33,-82.36,734
37614,PO BOX,0,Johnson City,,"East Tn State Univ, Etsu, Jc",TN,Washington County,America/New_York,423,NA,US,36.3,-82.37,287
37615,STANDARD,0,Johnson City,Gray,Jc,TN,Washington County,America/New_York,423,NA,US,36.4,-82.46,18430
37616,STANDARD,0,Afton,,,TN,Greene County,America/New_York,423,NA,US,36.23,-82.75,4220
37617,STANDARD,0,Blountville,,,TN,Sullivan County,America/New_York,423,NA,US,36.53,-82.32,12150
37618,STANDARD,0,Bluff City,,,TN,Sullivan County,America/New_York,423,NA,US,36.46,-82.27,10960
37620,STANDARD,0,Bristol,,,TN,Sullivan County,America/New_York,423,NA,US,36.56,-82.19,31310
37621,PO BOX,0,Bristol,,,TN,Sullivan County,America/New_York,423,NA,US,36.56,-82.19,859
37625,PO BOX,0,Bristol,,,TN,Sullivan County,America/New_York,423,NA,US,36.56,-82.19,246
37640,STANDARD,0,Butler,,,TN,Johnson County,,423,NA,US,36.31,-82,2600
37641,STANDARD,0,Chuckey,,Chucky,TN,Greene County,,,NA,US,36.24,-82.71,7090
37642,STANDARD,0,Church Hill,,,TN,Hawkins County,America/New_York,423,NA,US,36.52,-82.71,12530
37643,STANDARD,0,Elizabethton,,,TN,Carter County,America/New_York,423,NA,US,36.33,-82.23,25650
37644,PO BOX,0,Elizabethton,,,TN,Carter County,America/New_York,423,NA,US,36.33,-82.23,1082
37645,STANDARD,0,Mount Carmel,"Church Hill, Mt Carmel",,TN,Hawkins County,America/New_York,423,NA,US,36.56,-82.65,4850
37650,STANDARD,0,Erwin,,,TN,Unicoi County,,423,NA,US,36.14,-82.41,9760
37656,STANDARD,0,Fall Branch,,,TN,Washington County,,423,NA,US,36.41,-82.62,3090
37657,STANDARD,0,Flag Pond,,,TN,Unicoi County,America/New_York,423,NA,US,36.01,-82.56,660
37658,STANDARD,0,Hampton,,,TN,Carter County,America/New_York,423,NA,US,36.28,-82.17,3320
37659,STANDARD,0,Jonesborough,,Jonesboro,TN,Washington County,America/New_York,423,NA,US,36.29,-82.47,24370
37660,STANDARD,0,Kingsport,Bloomingdale,,TN,Sullivan County,America/New_York,423,NA,US,36.52,-82.55,31710
37662,PO BOX,0,Kingsport,,,TN,Sullivan County,America/New_York,423,NA,US,36.52,-82.55,825
37663,STANDARD,0,Kingsport,"Colonial Heights, Colonial Hgts",,TN,Sullivan County,America/New_York,423,NA,US,36.46,-82.49,13440
37664,STANDARD,0,Kingsport,,,TN,Sullivan County,America/New_York,423,NA,US,36.52,-82.5,24040
37665,STANDARD,0,Kingsport,,,TN,Sullivan County,America/New_York,423,NA,US,36.58,-82.57,4090
37669,UNIQUE,0,Kingsport,,Kingsport Book,TN,Sullivan County,America/New_York,423,NA,US,36.52,-82.55,0
37680,STANDARD,0,Laurel Bloomery,Laurel Blmry,,TN,Johnson County,America/New_York,423,NA,US,36.58,-81.73,540
37681,STANDARD,0,Limestone,,,TN,Washington County,,423,NA,US,36.22,-82.63,5110
37682,PO BOX,0,Milligan College,Milligan Coll,Milligan,TN,Carter County,America/New_York,423,NA,US,36.3,-82.29,415
37683,STANDARD,0,Mountain City,,,TN,Johnson County,America/New_York,423,NA,US,36.47,-81.8,8500
37684,PO BOX,0,Mountain Home,Mtn Home,,TN,Washington County,America/New_York,423,NA,US,36.3,-82.36,426
37686,STANDARD,0,Piney Flats,,,TN,Sullivan County,America/New_York,423,NA,US,36.44,-82.34,6860
37687,STANDARD,0,Roan Mountain,,,TN,Carter County,America/New_York,423,NA,US,36.18,-82.07,3560
37688,STANDARD,0,Shady Valley,,,TN,Johnson County,America/New_York,423,NA,US,36.51,-81.92,770
37690,STANDARD,0,Telford,,,TN,Washington County,America/New_York,423,NA,US,36.24,-82.54,3580
37691,STANDARD,0,Trade,,,TN,Johnson County,America/New_York,423,NA,US,36.34,-81.74,640
37692,STANDARD,0,Unicoi,,,TN,Unicoi County,America/New_York,423,NA,US,36.19,-82.35,3900
37694,STANDARD,0,Watauga,,,TN,Carter County,,,NA,US,36.36,-82.29,1470
37699,UNIQUE,0,Piney Flats,,Home Shopping Network,TN,Sullivan County,America/New_York,423,NA,US,36.44,-82.34,0
37701,STANDARD,0,Alcoa,,,TN,Blount County,America/New_York,865,NA,US,35.79,-83.97,7030
37705,STANDARD,0,Andersonville,,,TN,Anderson County,,865,NA,US,36.2,-84.04,4270
37707,PO BOX,0,Arthur,,Harrogate,TN,Claiborne County,America/New_York,423,NA,US,36.54,-83.67,327
37708,STANDARD,0,Bean Station,,Tate Springs,TN,Grainger County,America/New_York,865,NA,US,36.34,-83.28,5430
37709,STANDARD,0,Blaine,,,TN,Grainger County,America/New_York,865,NA,US,36.14,-83.69,3250
37710,STANDARD,0,Briceville,Devonia,,TN,Anderson County,America/New_York,865,NA,US,36.16,-84.3,770
37711,STANDARD,0,Bulls Gap,,,TN,Hawkins County,,423,NA,US,36.26,-83.07,4110
37713,STANDARD,0,Bybee,,,TN,Cocke County,,865,NA,US,36.04,-83.18,1190
37714,STANDARD,0,Caryville,,,TN,Campbell County,America/New_York,423,NA,US,36.26,-84.3,3420
37715,STANDARD,0,Clairfield,,,TN,Claiborne County,America/New_York,423,NA,US,36.54,-83.95,620
37716,STANDARD,0,Clinton,,,TN,Anderson County,America/New_York,865,NA,US,36.09,-84.13,21270
37717,PO BOX,0,Clinton,,,TN,Anderson County,America/New_York,865,NA,US,36.09,-84.13,835
37719,PO BOX,0,Coalfield,,,TN,Morgan County,America/New_York,423,NA,US,36.02,-84.43,532
37721,STANDARD,0,Corryton,,,TN,Knox County,,,NA,US,36.12,-83.8,11630
37722,STANDARD,0,Cosby,,,TN,Cocke County,,,NA,US,35.81,-83.25,4790
37723,STANDARD,0,Crab Orchard,,,TN,Cumberland County,America/Chicago,931,NA,US,35.9,-84.88,820
37724,STANDARD,0,Cumberland Gap,"Cumb Gap, Cumberland Gp",,TN,Claiborne County,America/New_York,423,NA,US,36.55,-83.71,1600
37725,STANDARD,0,Dandridge,,,TN,Jefferson County,,865,NA,US,36.02,-83.41,14390
37726,STANDARD,0,Deer Lodge,,,TN,Morgan County,America/New_York,423,NA,US,36.21,-84.83,1460
37727,STANDARD,0,Del Rio,,,TN,Cocke County,America/New_York,423,NA,US,35.91,-83.02,1540
37729,STANDARD,0,Duff,La Follette,,TN,Campbell County,America/New_York,423,NA,US,36.52,-84.03,1020
37730,PO BOX,0,Eagan,,,TN,Claiborne County,America/New_York,423,NA,US,36.55,-83.98,131
37731,STANDARD,0,Eidson,,,TN,Hawkins County,America/New_York,423,NA,US,36.5,-83.08,530
37732,PO BOX,0,Elgin,,,TN,Scott County,America/New_York,423,NA,US,36.33,-84.6,277
37733,PO BOX,0,Rugby,Elgin,,TN,Morgan County,America/New_York,423,NA,US,36.35,-84.7,40
37737,STANDARD,0,Friendsville,,,TN,Blount County,America/New_York,865,NA,US,35.75,-84.13,5170
37738,STANDARD,0,Gatlinburg,,,TN,Sevier County,America/New_York,865,NA,US,35.72,-83.49,6550
37742,STANDARD,0,Greenback,,,TN,Loudon County,,865,NA,US,35.65,-84.17,5260
37743,STANDARD,0,Greeneville,Tusculum Coll,Baileyton,TN,Greene County,America/New_York,423,NA,US,36.07,-82.86,20330
37744,PO BOX,0,Greeneville,,,TN,Greene County,America/New_York,423,NA,US,36.16,-82.81,957
37745,STANDARD,0,Greeneville,Tusculum,Baileyton,TN,Greene County,America/New_York,423,NA,US,36.16,-82.81,14710
37748,STANDARD,0,Harriman,,"Emory Gap, Midtown",TN,Roane County,,865,NA,US,35.93,-84.56,14000
37752,STANDARD,0,Harrogate,,,TN,Claiborne County,America/New_York,423,NA,US,36.56,-83.54,4870
37753,STANDARD,0,Hartford,,,TN,Cocke County,America/New_York,"423,865",NA,US,35.81,-83.14,530
37754,STANDARD,0,Heiskell,,,TN,Anderson County,,865,NA,US,36.12,-84.04,3950
37755,STANDARD,0,Helenwood,,New River,TN,Scott County,America/New_York,423,NA,US,36.43,-84.56,2640
37756,STANDARD,0,Huntsville,,Norma,TN,Scott County,America/New_York,423,NA,US,36.41,-84.48,2220
37757,STANDARD,0,Jacksboro,,,TN,Campbell County,America/New_York,423,NA,US,36.33,-84.19,7750
37760,STANDARD,0,Jefferson City,Jefferson Cty,Jeff City,TN,Jefferson County,America/New_York,865,NA,US,36.11,-83.48,10690
37762,STANDARD,0,Jellico,,,TN,Campbell County,America/New_York,423,NA,US,36.57,-84.12,2280
37763,STANDARD,0,Kingston,,,TN,Roane County,America/New_York,865,NA,US,35.87,-84.51,13340
37764,STANDARD,0,Kodak,,,TN,Sevier County,America/New_York,865,NA,US,35.97,-83.62,8600
37765,STANDARD,0,Kyles Ford,,,TN,Hancock County,America/New_York,423,NA,US,36.57,-83.06,390
37766,STANDARD,0,La Follette,Morley,Lafollette,TN,Campbell County,America/New_York,423,NA,US,36.37,-84.12,12810
37769,STANDARD,0,Lake City,,,TN,Anderson County,,865,NA,US,36.22,-84.15,4710
37770,STANDARD,0,Lancing,,,TN,Morgan County,America/New_York,423,NA,US,36.15,-84.69,2080
37771,STANDARD,0,Lenoir City,,,TN,Loudon County,America/New_York,865,NA,US,35.8,-84.27,14700
37772,STANDARD,0,Lenoir City,,,TN,Loudon County,America/New_York,865,NA,US,35.79,-84.22,10780
37773,PO BOX,0,Lone Mountain,,,TN,Claiborne County,America/New_York,423,NA,US,36.38,-83.58,28
37774,STANDARD,0,Loudon,,,TN,Loudon County,,"423,865",NA,US,35.73,-84.35,17480
37777,STANDARD,0,Louisville,,Mcghee Tyson Ang Base,TN,Blount County,America/New_York,865,NA,US,35.82,-84.04,10500
37778,PO BOX,0,Lowland,,Morristown,TN,Hamblen County,America/New_York,423,NA,US,36.15,-83.2,0
37779,STANDARD,0,Luttrell,,,TN,Union County,America/New_York,865,NA,US,36.2,-83.74,3100
37801,STANDARD,0,Maryville,,,TN,Blount County,America/New_York,865,NA,US,35.66,-84.09,22560
37802,PO BOX,0,Maryville,,,TN,Blount County,America/New_York,865,NA,US,35.74,-83.97,1744
37803,STANDARD,0,Maryville,,,TN,Blount County,America/New_York,865,NA,US,35.74,-83.97,28450
37804,STANDARD,0,Maryville,,,TN,Blount County,America/New_York,865,NA,US,35.79,-83.89,21880
37806,STANDARD,0,Mascot,,,TN,Knox County,America/New_York,865,NA,US,36.08,-83.73,2510
37807,STANDARD,0,Maynardville,,,TN,Union County,America/New_York,865,NA,US,36.24,-83.8,7810
37809,STANDARD,0,Midway,,,TN,Greene County,America/New_York,423,NA,US,36.16,-83.04,1760
37810,STANDARD,0,Mohawk,,,TN,Greene County,America/New_York,423,NA,US,36.18,-83.12,1520
37811,STANDARD,0,Mooresburg,,,TN,Hawkins County,America/New_York,423,NA,US,36.34,-83.22,2680
37813,STANDARD,0,Morristown,,,TN,Hamblen County,America/New_York,"423,865",NA,US,36.21,-83.29,15930
37814,STANDARD,0,Morristown,,,TN,Hamblen County,America/New_York,"865,423",NA,US,36.23,-83.34,29580
37815,PO BOX,0,Morristown,,,TN,Hamblen County,America/New_York,423,NA,US,36.21,-83.29,662
37816,PO BOX,0,Morristown,,,TN,Hamblen County,America/New_York,423,NA,US,36.21,-83.29,402
37818,STANDARD,0,Mosheim,,,TN,Greene County,America/New_York,423,NA,US,36.19,-82.95,4130
37819,STANDARD,0,Newcomb,,,TN,Campbell County,America/New_York,423,NA,US,36.54,-84.2,430
37820,STANDARD,0,New Market,,,TN,Jefferson County,America/New_York,865,NA,US,36.09,-83.55,6710
37821,STANDARD,0,Newport,,,TN,Cocke County,America/New_York,"423,865",NA,US,35.96,-83.19,17250
37822,PO BOX,0,Newport,,,TN,Cocke County,America/New_York,423,NA,US,35.96,-83.19,1178
37824,PO BOX,0,New Tazewell,,,TN,Claiborne County,America/New_York,423,NA,US,36.43,-83.6,2101
37825,STANDARD,0,New Tazewell,,,TN,Claiborne County,America/New_York,423,NA,US,36.43,-83.6,5490
37826,STANDARD,0,Niota,,,TN,McMinn County,America/New_York,423,NA,US,35.51,-84.54,3680
37828,PO BOX,0,Norris,,,TN,Anderson County,America/New_York,865,NA,US,36.21,-84.06,1589
37829,STANDARD,0,Oakdale,,,TN,Morgan County,America/New_York,423,NA,US,36.01,-84.64,1460
37830,STANDARD,0,Oak Ridge,,,TN,Anderson County,America/New_York,865,NA,US,35.96,-84.29,26680
37831,PO BOX,0,Oak Ridge,,,TN,Anderson County,America/New_York,865,NA,US,35.96,-84.29,857
37840,STANDARD,0,Oliver Springs,Oliver Spgs,,TN,Roane County,,"423,865",NA,US,36.03,-84.32,7710
37841,STANDARD,0,Oneida,,,TN,Scott County,America/New_York,423,NA,US,36.5,-84.51,7350
37843,STANDARD,0,Parrottsville,,,TN,Cocke County,America/New_York,865,NA,US,36,-83.09,3100
37845,PO BOX,0,Petros,,,TN,Morgan County,America/New_York,423,NA,US,36.09,-84.44,532
37846,STANDARD,0,Philadelphia,,,TN,Loudon County,,423,NA,US,35.67,-84.4,4290
37847,STANDARD,0,Pioneer,,,TN,Scott County,,,NA,US,36.46,-84.29,2070
37848,STANDARD,0,Powder Springs,Powder Spgs,Washburn,TN,Grainger County,America/New_York,865,NA,US,36.24,-83.66,250
37849,STANDARD,0,Powell,,,TN,Knox County,,865,NA,US,36.03,-84.02,24050
37851,PO BOX,0,Pruden,,,TN,Claiborne County,America/New_York,423,NA,US,36.58,-83.91,42
37852,STANDARD,0,Robbins,,Glen Mary,TN,Scott County,,423,NA,US,36.32,-84.57,1880
37853,STANDARD,0,Rockford,,,TN,Blount County,America/New_York,865,NA,US,35.82,-83.93,3220
37854,STANDARD,0,Rockwood,Ozone,Westel,TN,Roane County,,865,NA,US,35.87,-84.67,10020
37857,STANDARD,0,Rogersville,,,TN,Hawkins County,America/New_York,423,NA,US,36.4,-83,16540
37860,STANDARD,0,Russellville,,,TN,Hamblen County,America/New_York,423,NA,US,36.25,-83.19,3740
37861,STANDARD,0,Rutledge,,,TN,Grainger County,America/New_York,865,NA,US,36.27,-83.52,6800
37862,STANDARD,0,Sevierville,Pigeon Forge,,TN,Sevier County,America/New_York,865,NA,US,35.78,-83.61,19600
37863,STANDARD,0,Pigeon Forge,Sevierville,,TN,Sevier County,America/New_York,865,NA,US,35.79,-83.55,6930
37864,PO BOX,0,Sevierville,Pigeon Forge,,TN,Sevier County,America/New_York,865,NA,US,35.89,-83.57,2197
37865,STANDARD,0,Seymour,,,TN,Sevier County,,,NA,US,35.87,-83.77,19380
37866,STANDARD,0,Sharps Chapel,,,TN,Union County,America/New_York,865,NA,US,36.34,-83.8,1420
37867,PO BOX,0,Shawanee,,Harrogate,TN,Claiborne County,America/New_York,423,NA,US,36.57,-83.55,90
37868,PO BOX,0,Pigeon Forge,Sevierville,,TN,Sevier County,America/New_York,865,NA,US,35.79,-83.55,1206
37869,STANDARD,0,Sneedville,,,TN,Hancock County,,423,NA,US,36.53,-83.21,3620
37870,STANDARD,0,Speedwell,,,TN,Claiborne County,,423,NA,US,36.47,-83.81,3180
37871,STANDARD,0,Strawberry Plains,Straw Plains,,TN,Jefferson County,,,NA,US,36.06,-83.68,7810
37872,STANDARD,0,Sunbright,,Burrville,TN,Morgan County,,423,NA,US,36.24,-84.67,1680
37873,STANDARD,0,Surgoinsville,,,TN,Hawkins County,America/New_York,423,NA,US,36.47,-82.85,3350
37874,STANDARD,0,Sweetwater,,,TN,Monroe County,,"423,865",NA,US,35.6,-84.46,12550
37876,STANDARD,0,Sevierville,"Pigeon Forge, Pittman Center, Pittman Ctr",,TN,Sevier County,America/New_York,865,NA,US,35.89,-83.57,25640
37877,STANDARD,0,Talbott,,,TN,Hamblen County,,865,NA,US,36.14,-83.4,7620
37878,STANDARD,0,Tallassee,,Happy Valley,TN,Blount County,America/New_York,865,NA,US,35.62,-83.89,370
37879,STANDARD,0,Tazewell,,,TN,Claiborne County,America/New_York,423,NA,US,36.45,-83.57,7730
37880,STANDARD,0,Ten Mile,,,TN,Meigs County,,,NA,US,35.66,-84.66,2880
37881,STANDARD,0,Thorn Hill,Treadway,,TN,Grainger County,,,NA,US,36.35,-83.41,1620
37882,STANDARD,0,Townsend,,,TN,Blount County,America/New_York,865,NA,US,35.67,-83.75,2400
37885,STANDARD,0,Vonore,,,TN,Monroe County,America/New_York,423,NA,US,35.59,-84.23,4630
37886,STANDARD,0,Walland,,,TN,Blount County,America/New_York,865,NA,US,35.72,-83.81,3620
37887,STANDARD,0,Wartburg,,,TN,Morgan County,America/New_York,423,NA,US,36.1,-84.58,4170
37888,STANDARD,0,Washburn,,,TN,Grainger County,,865,NA,US,36.31,-83.59,2200
37890,STANDARD,0,White Pine,Baneberry,,TN,Jefferson County,America/New_York,865,NA,US,36.09,-83.29,5680
37891,STANDARD,0,Whitesburg,,,TN,Hamblen County,America/New_York,423,NA,US,36.29,-83.13,3060
37892,STANDARD,0,Winfield,,,TN,Scott County,America/New_York,423,NA,US,36.56,-84.45,1490
37901,PO BOX,0,Knoxville,,Knox,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,488
37902,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.96,-83.92,1200
37909,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.95,-84.02,12600
37912,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,36.01,-83.98,18430
37914,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.98,-83.8,17020
37915,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.9,3550
37916,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.95,-83.93,1030
37917,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,36,-83.91,18690
37918,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,36.06,-83.92,37740
37919,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.91,-84,24870
37920,STANDARD,0,Knoxville,"Kimberlin Heights, Kimberlin Hgt",,TN,Knox County,America/New_York,865,NA,US,35.91,-83.87,30120
37921,STANDARD,0,Knoxville,Karns,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,25180
37922,STANDARD,0,Knoxville,"Concord, Concord Farr, Concord Farragut",Farragut,TN,Knox County,America/New_York,865,NA,US,35.86,-84.1,34300
37923,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.93,-84.08,26180
37924,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,36.03,-83.8,10310
37927,PO BOX,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,612
37928,PO BOX,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,565
37929,STANDARD,0,Knoxville,,Plaza Tower,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,0
37930,PO BOX,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,906
37931,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.98,-84.13,25320
37932,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.92,-84.2,15530
37933,PO BOX,0,Knoxville,Farragut,Concord Farragut,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,750
37934,STANDARD,0,Knoxville,"Concord, Farragut","Concord Farr, Concord Farragut, Knox, Knx, Kville",TN,Knox County,America/New_York,865,NA,US,35.87,-84.17,24700
37938,STANDARD,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,36.12,-83.94,16470
37939,PO BOX,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,491
37940,PO BOX,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,654
37950,PO BOX,0,Knoxville,,,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,1031
37990,UNIQUE,1,Knoxville,,The Mail Box,TN,Knox County,America/New_York,865,NA,US,35.86,-84.12,0
37995,UNIQUE,0,Knoxville,,1st Tennessee Bank,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,36
37996,UNIQUE,0,Knoxville,,University Of Tenn,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,90
37997,UNIQUE,0,Knoxville,,Suntrust Bank,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,0
37998,UNIQUE,0,Knoxville,,Johnson Bible College,TN,Knox County,America/New_York,865,NA,US,35.97,-83.94,344
38001,STANDARD,0,Alamo,,,TN,Crockett County,America/Chicago,731,NA,US,35.78,-89.11,3750
38002,STANDARD,0,Arlington,Lakeland,,TN,Shelby County,,901,NA,US,35.28,-89.66,39380
38004,STANDARD,0,Atoka,,Crosstown,TN,Tipton County,,901,NA,US,35.44,-89.77,10620
38006,STANDARD,0,Bells,,,TN,Crockett County,,731,NA,US,35.71,-89.08,4580
38007,PO BOX,0,Bogota,,,TN,Dyer County,America/Chicago,731,NA,US,36.16,-89.43,157
38008,STANDARD,0,Bolivar,,,TN,Hardeman County,America/Chicago,731,NA,US,35.26,-88.99,7950
38010,PO BOX,0,Braden,,,TN,Fayette County,America/Chicago,901,NA,US,35.36,-89.57,18
38011,STANDARD,0,Brighton,,,TN,Tipton County,America/Chicago,901,NA,US,35.47,-89.73,8780
38012,STANDARD,0,Brownsville,,,TN,Haywood County,America/Chicago,731,NA,US,35.59,-89.25,12610
38014,PO BOX,0,Brunswick,,,TN,Shelby County,America/Chicago,901,NA,US,35.28,-89.72,173
38015,STANDARD,0,Burlison,Gilt Edge,Randolph,TN,Tipton County,America/Chicago,901,NA,US,35.55,-89.78,2300
38016,STANDARD,0,Cordova,,,TN,Shelby County,America/Chicago,901,NA,US,35.18,-89.76,42200
38017,STANDARD,0,Collierville,"Fisherville, Piperton",,TN,Shelby County,America/Chicago,901,NA,US,35.05,-89.67,49960
38018,STANDARD,0,Cordova,,,TN,Shelby County,America/Chicago,901,NA,US,35.15,-89.75,33590
38019,STANDARD,0,Covington,Garland,,TN,Tipton County,America/Chicago,"731,901",NA,US,35.56,-89.64,13330
38021,PO BOX,0,Crockett Mills,Crockett Mls,,TN,Crockett County,America/Chicago,731,NA,US,35.88,-89.16,180
38023,STANDARD,0,Drummonds,,,TN,Tipton County,America/Chicago,901,NA,US,35.46,-89.94,4770
38024,STANDARD,0,Dyersburg,,,TN,Dyer County,America/Chicago,731,NA,US,36.03,-89.38,22520
38025,PO BOX,0,Dyersburg,,,TN,Dyer County,America/Chicago,731,NA,US,36.03,-89.38,924
38027,PO BOX,0,Collierville,,"Colliervl, Colliervle, Fisherville, Piperton",TN,Shelby County,America/Chicago,901,NA,US,35.05,-89.67,694
38028,STANDARD,0,Eads,,,TN,Fayette County,,,NA,US,35.2,-89.66,6840
